params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Alpha [%],Beta,Commissions [$],Sortino Ratio,Calmar Ratio,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 10, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.08}",5343,20642.0000,0.1084,3.5144,-6.6163,2.6366,103514.3997,107762.6802,7.4722,1.7746,7.2890,1.1403,3.4132,0.0167,592.8157,inf,1.8088,-5.5431,50.2800,6.2921,-3.4399,0.9009,5.5566,1.0009,-0.3600,-1.4489,0.0234,0.0234
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 10, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",5343,20630.0000,0.1052,5.8606,-7.4419,2.8046,105860.5814,110971.1005,7.4722,2.9184,9.0445,1.8718,5.7293,0.0249,596.2065,inf,2.3017,-5.8134,47.2928,9.4835,-3.5801,1.4573,6.2699,1.6428,-0.8655,-1.9586,0.0242,0.0242
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.08}",5343,21019.0000,0.0983,3.4049,-6.7329,2.6951,103404.9150,107747.8127,7.9009,1.7250,7.3051,1.1071,3.3024,0.0157,604.4575,inf,1.7825,-5.5832,49.8188,6.2565,-3.5446,0.8257,5.1103,0.9254,-0.3072,-1.6329,0.0254,0.0254
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 10, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.12}",5343,20633.0000,0.0906,4.6256,-7.3080,2.7699,104625.5834,109572.2482,7.4722,2.3098,8.3563,1.4805,4.5000,0.0220,594.1383,inf,1.8905,-5.8185,47.6289,8.1789,-3.5830,1.1631,5.7255,1.3097,-0.8226,-1.9464,0.0259,0.0259
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 20, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.08}",5343,18867.0000,0.0892,3.2032,-6.3893,2.3714,103203.1818,107306.6722,1.9805,1.6286,7.1276,1.0450,3.1751,0.0155,544.4486,inf,1.9723,-5.6598,49.5665,6.1227,-3.2915,0.9275,4.9845,1.0290,-0.9593,-1.7103,0.0268,0.0268
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",5343,21008.0000,0.0889,5.4986,-7.6037,2.8647,105498.6018,110744.2985,7.9009,2.7431,8.9895,1.7569,5.3647,0.0233,607.5174,inf,2.3455,-5.9074,46.7831,9.2916,-3.6828,1.3087,5.7279,1.4891,-0.7726,-2.1477,0.0231,0.0231
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 20, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",5343,18855.0000,0.0886,5.6189,-7.2264,2.5351,105618.9261,110590.8007,1.9805,2.8100,8.9020,1.8015,5.5972,0.0233,547.9732,inf,2.6193,-5.9551,46.3004,9.3333,-3.3910,1.5738,5.4503,1.7647,-1.5532,-2.2115,0.0254,0.0254
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.12}",5343,21011.0000,0.0752,4.3426,-7.4570,2.8302,104342.5602,109417.4716,7.9009,2.1733,8.3328,1.3905,4.2178,0.0206,605.5268,inf,1.8421,-5.8987,47.1252,8.0301,-3.6727,1.0450,5.0417,1.1884,-0.7268,-2.1362,0.0254,0.0254
"{'adx_length': 10, 'adx_threshold': 25, 'ml_atr_len': 10, 'ml_fact': 3.0, 'di_threshold': 5, 'volume_ma_period': 20, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.12}",5343,18858.0000,0.0721,4.3394,-7.0919,2.5009,104339.4463,109147.8782,1.9805,2.1771,8.2002,1.3941,4.3104,0.0206,545.7185,inf,1.9886,-5.9616,46.6588,7.9923,-3.4140,1.2316,4.7682,1.3816,-1.5022,-2.2098,0.0268,0.0268
